Name,Nation,Club,League,OVR,POT,Age,Height,Weight,Position,Reputation,Value,Wage
Gustav Molin,Sweden , GIF Sundsvall , Sweden Allsvenskan (1),57,68,19,199cm,87kg,GK,1,£275K,£500
Giorgi Mamardashvili,Georgia , Valencia CF , Spain Primera Division (1),79,85,21,199cm,88kg,GK,1,£20.5M,£17K
Marcin Bulka,Poland , OGC Nice , France Ligue 1 (1),73,80,22,199cm,90kg,GK,1,£4.8M,£16.5K
Aaron Seydel,Germany , SV Darmstadt 98 , Germany 2. Bundesliga (2),67,68,26,199cm,90kg,"ST, LM, CAM",1,£1.1M,£6.8K
Jamal Blackman,England , Exeter City , England League One (3),67,67,28,199cm,92kg,GK,1,£725K,£2.4K
Denis Kolinger,Croatia , CFR Cluj , Romania Liga I (1),67,68,28,199cm,92kg,CB,1,£875K,£5K
Florian Schock,Germany , VfB Stuttgart , Germany 1. Bundesliga (1),61,69,21,199cm,95kg,GK,1,£575K,£1.7K
Jan de Boer,Netherlands , FC Groningen , Holland Eredivisie (1),60,70,22,199cm,95kg,GK,1,£425K,£901
Jannik Vestergaard,Denmark , Leicester City , England Premier League (1),74,74,30,199cm,96kg,CB,2,£3.1M,£47.5K
Erling Haaland,Norway , Manchester City , England Premier League (1),90,94,22,195cm,94kg,ST,4,£159M,£250K
Tomas Petrasek,Czech Republic , Rakow Czstochowa , Poland Ekstraklasa (1),69,69,30,199cm,99kg,CB,1,£1000K,£5.2K
Lars Unnerstall,Germany , FC Twente , Holland Eredivisie (1),79,79,32,198cm,103kg,GK,2,£10.5M,£12K
Xavier Valdez,Dominican Republic , Houston Dynamo , USA Major League Soccer (1),54,69,18,198cm,72kg,GK,1,£200K,£500
Altay Bayindir,Turkey , Fenerbahce , Turkey S√ºper Lig (1),77,81,24,198cm,73kg,GK,1,£11M,£32.5K
Nick Woltemade,Germany , SV Elversberg , Germany 3. Liga (3),66,77,20,198cm,78kg,ST,1,£1.7M,£700
Kasper Kiilerich,Denmark , Viborg FF , Denmark Superliga (1),54,73,16,198cm,78kg,GK,1,£210K,£500
Harry Souttar,Australia , Leicester City , England Premier League (1),73,77,23,198cm,79kg,CB,1,£3.5M,£37.5K
Boubacar Fall,Senegal , AS Saint-Etienne , France Ligue 2 (2),62,74,21,198cm,80kg,GK,1,£775K,£801
Peter Urminsky,Slovakia , St. Mirren , Scotland Premiership (1),58,65,23,198cm,80kg,GK,1,£325K,£750
Joel Coleman,England , Ipswich Town , England League One (3),62,63,26,198cm,82kg,GK,1,£325K,£1.8K
Stian Aarones Holte,Norway , Aalesunds FK , Norway Eliteserien (1),54,68,19,198cm,82kg,CB,1,£220K,£500
Andreas Dithmer,Denmark , FC Kobenhavn , Denmark Superliga (1),54,76,17,198cm,82kg,GK,1,£70K,£500
Jack Elliott,England , Philadelphia Union , USA Major League Soccer (1),73,76,27,198cm,83kg,"CB, CDM",1,£3.1M,£6K
Simy,Nigeria , Benevento , Italy Serie B (2),68,68,30,198cm,84kg,ST,1,£1.1M,£2.2K
Arthur Okonkwo,England , Sturm Graz , Austria Bundesliga (1),66,75,20,198cm,84kg,GK,1,£1.5M,£2.7K
Lasse Schulz,Finland , SpVgg Greuther Furth , Germany 2. Bundesliga (2),56,71,19,198cm,84kg,GK,1,£275K,£501
Sam Walker,England , Kilmarnock , Scotland Premiership (1),64,64,30,198cm,85kg,GK,1,£375K,£1.3K
Michael Weier,Australia , Newcastle Jets , Australia A-League (1),59,64,25,198cm,85kg,GK,1,£240K,£500
Joe Lewis,England , Aberdeen , Scotland Premiership (1),65,65,34,198cm,85kg,GK,1,£325K,£1.6K
Thomas Thiesson Kristensen,Denmark , Aarhus GF , Denmark Superliga (1),66,79,20,198cm,85kg,CB,1,£1.7M,£2.7K
Ayoub Jabbari,Morocco , Racing de Santander , Spain Segunda Division (2),58,67,22,198cm,85kg,ST,1,£425K,£1.4K
Anatoliy Trubin,Ukraine , Shakhtar Donetsk , Rest of World,72,80,21,198cm,86kg,GK,1,£4.1M,£6.5K
Conor Hazard,Northern Ireland , Celtic , Scotland Premiership (1),66,70,24,198cm,86kg,GK,1,£875K,£7.6K
Dan Burn,England , Newcastle United , England Premier League (1),78,78,30,198cm,87kg,"CB, LB",1,£10.5M,£66K
Josh Griffiths,England , West Bromwich Albion , England Championship (2),64,74,20,198cm,87kg,GK,1,£1000K,£3.3K
Rene Kriwak,Austria , Hartberg , Austria Bundesliga (1),62,69,23,198cm,87kg,"ST, CF",1,£725K,£1.6K
Guillaume Hubert,Belgium , Oostende , Belgium Pro League (1),69,71,28,198cm,88kg,GK,1,£1.2M,£4.4K
Rodrigo Moura,Brazil , Chaves , Portugal Primeira Liga (1),69,73,26,198cm,88kg,GK,1,£1.3M,£3K
Benjamin Martino,United States , Nashville SC , USA Major League Soccer (1),52,60,19,198cm,88kg,GK,1,£130K,£500
Pedro,Spain , Olympique de Marseille , France Ligue 1 (1),63,72,22,198cm,89kg,ST,1,£975K,£6.1K
Robin Olsen,Sweden , Aston Villa , England Premier League (1),75,75,32,198cm,89kg,GK,1,£3.4M,£42K
Wayne Hennessey,Wales , Nottingham Forest , England Premier League (1),73,73,35,198cm,90kg,GK,2,£900K,£19K
Luiz Felipe,Brazil , Vizela , Portugal Primeira Liga (1),67,71,25,198cm,90kg,GK,1,£1000K,£1.5K
Kion Etete,England , Cardiff City , England Championship (2),65,73,20,198cm,90kg,ST,1,£1.4M,£6.3K
Lukas Jensen,Denmark , Accrington Stanley , England League One (3),60,68,23,198cm,90kg,GK,1,£425K,£601
Morten Saetra,Norway , Stromsgodset Toppfotball , Norway Eliteserien (1),62,67,25,198cm,90kg,GK,1,£425K,£650
Alexandru Greab,Romania , CS Mioveni , Romania Liga I (1),66,66,30,198cm,90kg,GK,1,£550K,£1.3K
Ciprian Tatarusanu,Romania , Milan , Italy Serie A (1),76,76,36,198cm,90kg,GK,2,£1.2M,£22.5K
Emre Satilmis,Turkey , Sivasspor , Turkey S√ºper Lig (1),58,63,25,198cm,90kg,GK,1,£210K,£1.8K
Oskar Mielcarz,Poland , Zlsk WrocBaw , Poland Ekstraklasa (1),54,72,18,198cm,90kg,GK,1,£70K,£500
Zinho Gano,Guinea Bissau , Zulte Waregem , Belgium Pro League (1),71,71,28,198cm,91kg,ST,1,£1.7M,£10K
Matt Smith,England , Salford City , England League Two (4),63,63,33,198cm,91kg,ST,1,£275K,£4.1K
Ionut Gurau,Romania , FC U Craiova 1948 , Romania Liga I (1),63,71,23,198cm,91kg,GK,1,£825K,£1.6K
Matisse Didden,Belgium , Genk , Belgium Pro League (1),63,75,20,198cm,91kg,"CB, CDM",1,£975K,£2K
Jackson Ragen,United States , Seattle Sounders , USA Major League Soccer (1),62,70,23,198cm,91kg,CB,1,£750K,£1.1K
Darko Lemajic,Serbia , Gent , Belgium Pro League (1),66,66,29,198cm,92kg,ST,1,£775K,£6.5K
Roberts Uldrikis,Latvia , SC Cambuur , Holland Eredivisie (1),64,69,24,198cm,92kg,ST,1,£800K,£2.1K
Oliver Hawkins,England , Gillingham , England League Two (4),62,62,30,198cm,92kg,"ST, CB",1,£350K,£2.5K
Vafa Hakhamaneshi,Iran , Chennaiyin FC , Indian Super League (1),61,61,31,198cm,92kg,CB,1,£200K,£2.9K
Philip Quinton,United States , Columbus Crew , USA Major League Soccer (1),59,66,22,198cm,93kg,CB,1,£375K,£1K
Silas Ostrzinski,Germany , Borussia Dortmund II , Germany 3. Liga (3),58,75,18,198cm,93kg,GK,1,£140K,£500
Frederik Tingager,Denmark , Aarhus GF , Denmark Superliga (1),69,69,29,198cm,94kg,CB,1,£1000K,£6.4K
Leo Weinkauf,Germany , Hannover 96 , Germany 2. Bundesliga (2),66,70,26,198cm,94kg,GK,1,£825K,£5.3K
Maduka Okoye,Nigeria , Watford , England Championship (2),71,79,23,198cm,94kg,GK,1,£3.2M,£14.5K
Milan Duric,Bosnia Herzegovina , Hellas Verona , Italy Serie A (1),72,72,32,198cm,94kg,ST,1,£1.7M,£18K
Jake Hull,England , Rotherham United , England Championship (2),54,65,20,198cm,94kg,CB,1,£200K,£1.6K
Forrest Lasso,United States , GIF Sundsvall , Sweden Allsvenskan (1),64,64,29,198cm,95kg,CB,1,£450K,£851
Elidon Qenaj,Kosovo , 1. FC Heidenheim , Germany 2. Bundesliga (2),59,69,19,198cm,95kg,ST,1,£450K,£2.2K
Jasmin Fejzic,Bosnia Herzegovina , Eintracht Braunschweig , Germany 2. Bundesliga (2),67,67,36,198cm,95kg,GK,1,£160K,£2.3K
Michael Esser,Germany , VfL Bochum , Germany 1. Bundesliga (1),72,72,34,198cm,97kg,GK,1,£1000K,£11.5K
Aime Mabika,Zambia , Toronto FC , USA Major League Soccer (1),61,67,24,198cm,97kg,CB,1,£425K,£1.1K
Jordan Amissah,Germany , Burton Albion , England League One (3),52,66,21,198cm,97kg,GK,1,£150K,£500
Matej Maglica,Croatia , FC St. Gallen , Switzerland Super League (1),64,72,23,198cm,99kg,CB,1,£1.1M,£2K
Lukas Watkowiak,Germany , FC St. Gallen , Switzerland Super League (1),62,66,26,197cm,105kg,GK,1,£375K,£1.5K
Ross Sinclair,Scotland , St. Johnstone , Scotland Premiership (1),52,60,21,197cm,75kg,GK,1,£140K,£551
Mohamed Diaby,France , Portimonense , Portugal Primeira Liga (1),69,73,25,197cm,77kg,"CDM, CM",1,£1.6M,£3.5K
Reece Welch,England , Everton , England Premier League (1),56,75,18,197cm,78kg,CB,1,£300K,£1.4K
Yanis Massolin,France , Clermont Foot , France Ligue 1 (1),57,69,19,197cm,78kg,"LM, CM",1,£350K,£1.5K
Philip Billing,Denmark , AFC Bournemouth , England Premier League (1),76,78,26,197cm,80kg,"CM, CAM",1,£8.5M,£39.5K
Issiar Drame,Mali , SC Bastia , France Ligue 2 (2),62,69,23,197cm,80kg,CB,1,£675K,£851
Arijanet Muric,Kosovo , Burnley , England Championship (2),74,81,23,197cm,81kg,GK,1,£6.5M,£20K
Senna Miangue,Belgium , Cercle Brugge , Belgium Pro League (1),68,71,25,197cm,81kg,"LB, CB",1,£1.3M,£4.8K
Gabriel Kirejczyk,Poland , Piast Gliwice , Poland Ekstraklasa (1),57,68,19,197cm,81kg,ST,1,£325K,£1K
Dominik Greif,Slovakia , RCD Mallorca , Spain Primera Division (1),72,77,25,197cm,82kg,GK,1,£2.5M,£11K
Ziga Frelih,Slovenia , CD Mirandes , Spain Segunda Division (2),69,70,24,197cm,82kg,GK,1,£1.2M,£2.5K
Jacob Widell Zetterstrom,Sweden , Djurgardens IF , Sweden Allsvenskan (1),68,76,24,197cm,82kg,GK,1,£2.1M,£2K
Ismajl Beka,Kosovo , FC Luzern , Switzerland Super League (1),60,68,22,197cm,82kg,CB,1,£475K,£1.8K
Hady Camara,France , FC Annecy , France Ligue 2 (2),62,77,20,197cm,82kg,CB,1,£800K,£650
Harisson Marcelin,France , Cercle Brugge , Belgium Pro League (1),70,80,22,197cm,82kg,CB,1,£3M,£6K
Aden Flint,England , Sheffield Wednesday , England League One (3),70,70,33,197cm,83kg,CB,1,£675K,£7K
Thijmen Nijhuis,Netherlands , FC Utrecht , Holland Eredivisie (1),63,69,24,197cm,83kg,GK,1,£550K,£1.8K
Dino Peric,Croatia , Dinamo Zagreb , Rest of World,71,72,28,197cm,84kg,CB,1,£1.6M,£11.5K
Johan Hammar,Sweden , BK Hacken , Sweden Allsvenskan (1),67,68,28,197cm,84kg,CB,1,£875K,£2.3K
Magnus Sjoeng,Norway , Valerenga Fotball , Norway Eliteserien (1),63,77,20,197cm,84kg,GK,1,£900K,£550
Louis Lord,Germany , Werder Bremen , Germany 1. Bundesliga (1),59,77,18,197cm,84kg,GK,1,£150K,£500
Wout Weghorst,Netherlands , Manchester United , England Premier League (1),79,79,30,197cm,84kg,ST,2,£15.5M,£105K
Robert Sanchez,Spain , Brighton & Hove Albion , England Premier League (1),79,82,24,197cm,85kg,GK,1,£17M,£38.5K
Robert Ivanov,Finland , Warta PoznaD , Poland Ekstraklasa (1),69,71,27,197cm,85kg,CB,1,£1.3M,£1.9K
Atdhe Nuhiu,Kosovo , Altach , Austria Bundesliga (1),68,68,33,197cm,85kg,ST,1,£700K,£5.7K
Denys Boyko,Ukraine , Dynamo Kyiv , Rest of World,73,73,34,197cm,85kg,GK,2,£1.4M,£11.5K
Koen Casteels,Belgium , VfL Wolfsburg , Germany 1. Bundesliga (1),84,85,30,197cm,86kg,GK,3,£30M,£49K
Serge-Philippe Raux-Yao,France , Rodez Aveyron Football , France Ligue 2 (2),63,74,23,197cm,86kg,CB,1,£900K,£901
Edouard Mendy,Senegal , Chelsea , England Premier League (1),84,84,30,197cm,86kg,GK,2,£27M,£100K
Stefan Tarnovanu,Romania , FCSB , Romania Liga I (1),69,80,22,197cm,87kg,GK,1,£2.4M,£4.4K
Gustaf Nilsson,Sweden , Union Saint-Gilloise , Belgium Pro League (1),69,72,25,197cm,87kg,ST,1,£1.7M,£7.4K
Magrao,Brazil , Rio Ave , Portugal Primeira Liga (1),63,71,22,197cm,87kg,GK,1,£850K,£1.2K
Nick Suman,Australia , Macarthur FC , Australia A-League (1),56,64,22,197cm,87kg,GK,1,£250K,£500
Teva Gardies,France , Paris FC , France Ligue 2 (2),53,62,21,197cm,87kg,GK,1,£160K,£650
Mouhamadou-Naby Sarr,Senegal , Reading , England Championship (2),68,69,29,197cm,89kg,CB,1,£1000K,£7.1K
Jesse Joronen,Finland , Venezia , Italy Serie B (2),72,72,29,197cm,89kg,GK,1,£1.6M,£2.9K
Tete Yengi,Australia , Northampton Town , England League Two (4),58,67,21,197cm,89kg,ST,1,£425K,£2.4K
Felipe Avenatti,Uruguay , Kortrijk , Belgium Pro League (1),68,68,29,197cm,90kg,ST,1,£1.1M,£6.2K
Ousmane Camara,France , Angers SCO , France Ligue 1 (1),67,79,19,197cm,90kg,CB,1,£2M,£3.3K
Arana,Spain , Real Sociedad , Spain Primera Division (1),58,67,20,197cm,91kg,GK,1,£350K,£1.9K
Tin Plavotic,Croatia , SV Ried , Austria Bundesliga (1),67,70,25,197cm,92kg,CB,1,£1.1M,£3.3K
Ivan Filipovic,Croatia , Paris FC , France Ligue 2 (2),66,69,27,197cm,92kg,GK,1,£750K,£2.1K
Florian Stritzel,Germany , SV Wehen Wiesbaden , Germany 3. Liga (3),65,66,28,197cm,92kg,GK,1,£575K,£1.7K
Andre Becker,Brazil , Viktoria Koln , Germany 3. Liga (3),64,67,26,197cm,92kg,ST,1,£700K,£1.7K
Maarten Stekelenburg,Netherlands , Ajax , Holland Eredivisie (1),72,72,39,197cm,92kg,GK,2,£230K,£6.2K
Gurpreet Singh Sandhu,India , Bengaluru FC , Indian Super League (1),62,62,30,197cm,92kg,GK,1,£250K,£2.5K
Edoardo Piana,Italy , Udinese , Italy Serie A (1),53,63,18,197cm,92kg,GK,1,£150K,£500
Tarsis Bonga,Germany , Eintracht Braunschweig , Germany 2. Bundesliga (2),64,65,25,197cm,93kg,"ST, RM, LM",1,£650K,£3.4K
Alexander Weidinger,Germany , Jahn Regensburg , Germany 2. Bundesliga (2),63,66,25,197cm,93kg,GK,1,£450K,£1.9K
Mads Kikkenborg,Denmark , Lyngby BK , Denmark Superliga (1),62,71,22,197cm,93kg,GK,1,£700K,£1.2K
Lars Veldwijk,South Africa , Suwon FC , Korea K League 1 (1),73,73,31,197cm,94kg,ST,1,£2.3M,£6.9K
Leo Lacroix,Switzerland , Western United FC , Australia A-League (1),69,69,30,197cm,95kg,CB,1,£1000K,£1.8K
David Olsson,Sweden , Varbergs BoIS , Sweden Allsvenskan (1),60,66,25,197cm,95kg,GK,1,£275K,£500
Lee Bum Young,Korea Republic , Suwon FC , Korea K League 1 (1),58,58,33,197cm,95kg,GK,1,£100K,£900
Igor Lucatelli,Italy , Benevento , Italy Serie B (2),51,62,19,197cm,95kg,GK,1,£100K,£500
Juan Guasone,Argentina , Estudiantes de La Plata , Argentina Primera Division (1),65,76,21,197cm,96kg,CB,1,£1.4M,£2K
John Mayanga Nekadio,DR Congo , Seraing , Belgium Pro League (1),60,69,20,197cm,97kg,CB,1,£450K,£1.5K
Lucas Acevedo,Argentina , Colon , Argentina Primera Division (1),66,66,30,197cm,97kg,CB,1,£625K,£3.4K
Tolu Arokodare,Nigeria , Genk , Belgium Pro League (1),67,78,21,197cm,97kg,ST,1,£2.1M,£4.1K
Mory Diaw,Senegal , Clermont Foot , France Ligue 1 (1),71,72,29,197cm,98kg,GK,1,£1.4M,£8.6K
Tomas Koubek,Czech Republic , FC Augsburg , Germany 1. Bundesliga (1),71,71,30,197cm,98kg,GK,1,£1.2M,£11K
Ricardo Santos,Portugal , Bolton Wanderers , England League One (3),69,71,27,196cm,100kg,CB,1,£1.3M,£5.4K
Ryan Delaney,Republic of Ireland , Morecambe , England League One (3),62,64,25,196cm,72kg,CB,1,£400K,£1.4K
Ross Sykes,England , Union Saint-Gilloise , Belgium Pro League (1),68,73,23,196cm,73kg,CB,1,£1.5M,£4.7K
Illan Meslier,France , Leeds United , England Premier League (1),76,83,22,196cm,74kg,GK,1,£11.5M,£20.5K
Sidy Sarr,Senegal , Chaves , Portugal Primeira Liga (1),68,72,26,196cm,75kg,"CDM, CM",1,£1.4M,£3.1K
Charlie Goode,England , Blackpool , England Championship (2),67,69,27,196cm,75kg,CB,1,£975K,£4.1K
Tyler Onyango,England , Forest Green Rovers , England League One (3),60,75,19,196cm,75kg,"CM, CAM",1,£525K,£950
Nicholas Bilokapic,Australia , Huddersfield Town , England Championship (2),60,77,19,196cm,75kg,GK,1,£180K,£901
Jaaso Jantunen,Finland , SC Freiburg II , Germany 3. Liga (3),55,70,17,196cm,75kg,GK,1,£230K,£500
Declan Drysdale,England , Newport County , England League Two (4),61,65,22,196cm,76kg,"CB, CDM",1,£400K,£2K
Juan Martin Rojas,Argentina , Delfin SC , CONMEBOL Sudamericana,60,70,23,196cm,76kg,GK,1,£425K,£1.4K
Viljami Sinisalo,Finland , Aston Villa , England Premier League (1),58,72,20,196cm,76kg,GK,1,£375K,£4.4K
Giovanni Grotta,Italy , Palermo , Italy Serie B (2),57,74,17,196cm,76kg,GK,1,£100K,£500
Noah Solheid,Belgium , Seraing , Belgium Pro League (1),54,67,19,196cm,76kg,"CB, CDM",1,£220K,£1K
Tyrone Mings,England , Aston Villa , England Premier League (1),78,78,29,196cm,77kg,CB,2,£10.5M,£65K
Angus Gunn,Scotland , Norwich City , England Championship (2),73,77,26,196cm,77kg,GK,1,£2.9M,£22.5K
Alexis Villa,Ecuador , Independiente del Valle , CONMEBOL Libertadores,61,71,20,196cm,77kg,GK,1,£550K,£1.7K
Robbin Ruiter,Netherlands , SC Cambuur , Holland Eredivisie (1),64,64,35,196cm,78kg,GK,1,£170K,£1K
Aapo Halme,Finland , HJK Helsinki , Rest of World,65,72,24,196cm,78kg,"CB, CDM",1,£1.2M,£4.1K
Jakub Rajczykowski,Poland , Rakow Czstochowa , Poland Ekstraklasa (1),52,72,17,196cm,78kg,GK,1,£170K,£500
Jaime Duran,Spain , RCD Mallorca , Spain Primera Division (1),57,67,21,196cm,79kg,GK,1,£275K,£1.7K
Tosin Adarabioyo,England , Fulham , England Premier League (1),76,82,24,196cm,80kg,CB,1,£9.5M,£35.5K
Alfred Gomis,Senegal , Como , Italy Serie B (2),73,75,28,196cm,80kg,GK,1,£2.6M,£2.5K
Darko Gyabi,England , Leeds United , England Premier League (1),60,79,18,196cm,80kg,"CM, CDM",1,£550K,£1.8K
Nikita Fedotov,Ukraine , SD Ponferradina , Spain Segunda Division (2),60,71,22,196cm,80kg,GK,1,£425K,£900
Hakon Valdimarsson,Iceland , IF Elfsborg , Sweden Allsvenskan (1),63,75,20,196cm,80kg,GK,1,£900K,£550
Michiel Kramer,Netherlands , RKC Waalwijk , Holland Eredivisie (1),69,69,33,196cm,80kg,ST,1,£800K,£4.3K
Bjorn Johnsen,Norway , SC Cambuur , Holland Eredivisie (1),63,63,30,196cm,81kg,ST,1,£425K,£2.1K
Jiri Pavlenka,Czech Republic , Werder Bremen , Germany 1. Bundesliga (1),77,77,30,196cm,81kg,GK,2,£6.5M,£17K
Amidou Diop,Senegal , Aalesunds FK , Norway Eliteserien (1),66,66,30,196cm,82kg,"CDM, CM",1,£650K,£1.2K
Ryan Inniss,England , Charlton Athletic , England League One (3),64,65,27,196cm,82kg,CB,1,£525K,£2.5K
Stipe Vulikic,Croatia , Perugia , Italy Serie B (2),64,72,21,196cm,82kg,CB,1,£1.1M,£700
Remy Descamps,France , FC Nantes , France Ligue 1 (1),70,72,26,196cm,82kg,GK,1,£1.3M,£9.1K
Nesta Elphege,France , Chamois Niortais FC , France Ligue 2 (2),59,66,21,196cm,82kg,ST,1,£425K,£951
Bas Dost,Netherlands , FC Utrecht , Holland Eredivisie (1),74,74,33,196cm,83kg,ST,2,£2.4M,£14.5K
Tomislav Uskok,Australia , Macarthur FC , Australia A-League (1),64,64,31,196cm,83kg,CB,1,£350K,£1.1K
Aleksandar Jovanovic,Australia , Bengaluru FC , Indian Super League (1),63,63,33,196cm,83kg,CB,1,£210K,£3.5K
Kieffer Moore,Wales , AFC Bournemouth , England Premier League (1),73,73,30,196cm,83kg,ST,1,£2.7M,£35K
Joe Low,Wales , Walsall , England League Two (4),57,62,20,196cm,83kg,CB,1,£200K,£1.6K
Georgiy Bushchan,Ukraine , Dynamo Kyiv , Rest of World,75,76,28,196cm,84kg,GK,1,£4.4M,£14.5K
Christian Burgess,England , Union Saint-Gilloise , Belgium Pro League (1),74,74,30,196cm,84kg,CB,1,£3.1M,£12.5K
Janik Bachmann,Germany , SV Sandhausen , Germany 2. Bundesliga (2),69,70,26,196cm,84kg,"CDM, CAM, CM",1,£1.3M,£3.6K
Raphael Sallinger,Austria , Hartberg , Austria Bundesliga (1),63,66,26,196cm,84kg,GK,1,£425K,£1.4K
Ibrahima Cisse,Mali , FC Schalke 04 , Germany 1. Bundesliga (1),60,71,21,196cm,84kg,CB,1,£475K,£2.2K
